Q14942930	Wikimedia subject-area collaboration
Q262	country in North Africa
Q15602263	species of plant
Q183904	study of mammals
Q10053880	Wikimedia category
Q55784387	human disease
Q10351538	directions of northeast, southeast, southwest and northwest
Q43483	excavation or structure created in the ground to access groundwater
Q7217296	Wikimedia category
Q735188	three-dimensional arrangement of atoms in an amino acid-chain molecule
Q6452640	intercardinal direction
Q47521464	pharmaceutical product
Q2811	watercraft capable of independent operation underwater
Q105467331	student who studies science
Q6072584	name for several genera of birds in the order Galliformes
Q123371	Swiss-American engineer and educator (1904-1973)
Q9231048	Wikimedia category
Q25272	SI unit of electric current
Q24905683	discouragement to do something
Q724520	district of Jiangsu Province, China
Q849363	American investment management company
Q13479477	Wikimedia template
Q55248783	Wikimedia category
Q775318	designer, operator, or technically capable user of the Internet
Q6189617	art of designing and creating jewelry
Q129026	species of large lamniform shark
Q6449083	Wikimedia category
Q3051005	1993 video game
Q207123	plant part used for flavoring, food, medicine, or perfume
Q877998	type of student organization
Q58734	introduction of contaminants into the natural environment that cause adverse change
Q47185282	country labelled 'Not Free' by Freedom House
Q7893895	television production company
Q227936	taxonomic rank between family and genus
Q758	chemical element with symbol Zn and atomic number 30
Q523	astronomical object consisting of a luminous spheroid of plasma held together by its own gravity
Q3043892	demographics of region
Q41217	science concerned with physical bodies subjected to forces or displacements
Q3224	state of Australia
Q28737012	institution that exhibits cultural artifacts
Q79478214	arms and armor by unknown artist (1916.1638)
Q11822	municipality in the comarca of the Alt Empordà in Catalonia, Spain
Q1367353	sense of physical or psychological ease; state of being comfortable and free from stress
Q7391	clade of insects
Q87482979	creative work conveying a fictional narrative
Q193234	low-speed motorcycle
Q4989906	imposing structure created to commemorate a person or event, or used for that purpose
Q13219999	Wikimedia category
Q15068755	Wikimedia category
Q170579	expression of amusement
Q863944	all areas of water and watercourses of surface water located on land
Q20819335	Wikimedia category
Q3596897	1999-2001 U.S. Congress
Q25212061	shape of guitars and similar instruments
Q311382	American musician, songwriter, producer, and author
Q65474590	instance of the veto power being invoked
Q3863	minor planet of the inner Solar System; not a comet
Q8328624	Wikimedia category
Q50824047	compound with similar properties or structure to another compound
Q180524	Wikimedia list article
Q1134606	university in New Zealand
Q11386	synchronized oscillations of electric and magnetic fields
Q9759136	Wikimedia category
Q46871	species of plant
Q49542	East Slavic ethnic group, regardless of country of citizenship
Q92251	excessive, displeasing human, animal, or machine-created environmental noise
Q1411064	Wikimedia category
Q677	chemical element with symbol Fe and atomic number 26
Q4971776	single by Panda Bear
Q39875001	standard against which something can be judged; a criterion
Q31966	credited author of the Gospel of Mark and Christian saint; traditionally identified with John Mark
Q17197366	form of social organisation defined by the structure of the relationship between its members, or between other organizations
Q15260613	egg of chicken
Q269214	American animator, film director, screenwriter, producer
Q6291684	Wikimedia category
Q7463398	Wikimedia category
Q6581097	to be used in "sex or gender" (P21) to indicate that the human subject is a male
Q959664	general title for the head of government in some countries, states and sub-national governments
Q2526135	freedom from, or resilience against, potential harm caused by hostile forces, circumstances or disturbances
Q2407	general-purpose programming language
Q7977902	Wikimedia category
Q11383072	Wikimedia portal
Q3964591	1993 single by Whitney Houston and Bobby Brown
Q12639	class of musical instruments
Q8839146	Wikimedia category
Q932233	aspect of history
Q16363460	Wikimedia category
Q29584823	economic activity
Q23404	scientific study of humans, human behavior, and societies
Q16528	species of plant
Q11388	electromagnetic radiation with longer wavelengths than those of visible light
Q87554	German-American mathematician
Q239813	row 6 of the periodic table
Q613930	role that a noun phrase plays with respect to the action or state described by a governing verb
Q176501	quality of a musical note or sound or tone
Q7333072	Wikimedia category
Q1762471	technique that an author or speaker uses with the goal of persuading
Q6006731	Wikimedia category
Q416975	pharmaceutical drug
Q1060144	superpartner of a gauge boson
Q202080	the ability of a soil to sustain agricultural plant growth
Q7782995	Wikimedia disambiguation page
Q3895220	Venusian orbit around the Sun
Q1109139	non-human animal use of any kind of tool
Q55044	public university in Munich, Germany
Q148499	Holy Roman Empire principality (1157–1806)
Q104934	any of the physical interactions or forces: gravitational, electromagnetic, strong nuclear, and weak nuclear
Q134041	carbonated soft drink
Q814769	material that forms the skeleton of vertebrates
Q651223	interstitial lung disease that is caused by the inhalation of dust
Q42328566	digital storefront for video games by Humble Bundle Inc.
Q10531418	Mongol royal house dominating China 1271-1368
Q15088675	work performed to ensure meaningful and enduring access to data
Q96253971	metaclass of property or attribute
Q107	general framework of distances and directions according to a physical observer in its proper time
Q312466	system software designed to help analyze, configure, optimize or maintain a computer
Q16243343	private certification issued to for-profit companies by B Lab
Q112597033	a new co selling e-commerce platform
Q16114972	taxonomic division in the class of Reptiles
Q843601	applied sciences in healthcare
Q5917472	1991 single by M People
Q174091	capital of Hunan province, China
Q7152382	Wikimedia category
Q467677	intellectual ability significantly higher than average
Q365674	specialized field of engineering that focuses on the security aspects in the design, implementation and operation of systems
Q4181026	work zone established on a stretch of roadway
Q111122056	guesthouse in St Petersburg
Q3304003	US musical group
Q4966032	Wikimedia disambiguation page
Q7928890	Wikimedia category
Q839778	geographical aspect of China
Q107196737	kind of sleeping place
Q7140843	Wikimedia category
